seqName,errors,warnings,failedGenes
"100_p17_T2","","",""
"100_p17_T3","","",""
"100_p31_T1","","",""
"100_p31_T2","","",""
"100_p31_T3","","",""
"100_p35_T1","","",""
"100_p35_T2","","",""
"100_p35_T3","","",""
"100_p36_T1","","",""
"100_p36_T2","","",""
"100_p36_T3","","",""
"10098","","",""
"101_p0","","",""
"101_p12","","",""
"101_p17_T1","","",""
"101_p17_T2","","",""
"101_p17_T3","","",""
"101_p31_T1","","",""
"101_p31_T2","","",""
"101_p31_T3","","",""
"101_p35_T1","","",""
"101_p35_T2","","",""
"101_p35_T3","","",""
"101_p36_T1","","",""
"101_p36_T2","","",""
"101_p36_T3","","",""
"10118","","",""
"10196","","",""
"10S3","","",""
"10S5","","",""
"11316","","",""
