accession	name	segment	date	host	country	abbreviation	virus	strain
MF662698	K14/YN/CHN/2013		2013-09-26	Human	2013-09-26	China		K14/YN/CHN/2013
MG367593	DK07-03		2007-06-XX	Human	2007-06	Denmark	C	DK07-03
MG367595	DK14-03		2014-11-XX	Human	2014-11	Denmark	C	DK14-03
MG367596	DK16-02		2016-02-XX	Human	2016-02	Denmark	C	DK16-02
MG672479	GIN-13-365		20XX-XX-XX	Unknown	N/a	Guinea	A71	GIN-13-365
MG672480	SEN-14-157		20XX-XX-XX	Unknown	N/a	Senegal	A71	SEN-14-157
MG756711	TW-71680-2008		2008-XX-XX	Human	2008	Taiwan		TW-71680-2008
MG756713	TW-72219-2008		2008-XX-XX	Human	2008	Taiwan		TW-72219-2008
MG756717	TW-01709-2010		2010-XX-XX	Human	2010	Taiwan		TW-01709-2010
MG756723	TW-71650-2011		2011-XX-XX	Human	2011	Taiwan		TW-71650-2011
MG756725	TW-00184-2012		2012-XX-XX	Human	2012	Taiwan		TW-00184-2012
MG756740	TW-02572-2012		2012-XX-XX	Human	2012	Taiwan		TW-02572-2012
MG756746	TW-50601-2012		2012-XX-XX	Human	2012	Taiwan		TW-50601-2012
MG756747	TW-50681-2012		2012-XX-XX	Human	2012	Taiwan		TW-50681-2012
MG756748	TW-50878-2012		2012-XX-XX	Human	2012	Taiwan		TW-50878-2012
MG773125	Huainan201404		2014-XX-XX	Human	2014	China		Huainan201404
MH484070	16F		2016-XX-XX	Human	2016	Spain		16F
MH511189	100-p35-T1		2017-08-10	Unknown	2017-08-10	China	C4	100-p35-T1
MH511198	101-p17-T2		2017-08-10	Unknown	2017-08-10	China	C4	101-p17-T2
MH716253	C4-6		2014-10-06	Human	2014-10-06	Viet Nam	C4	C4-6
MH716255	C4-8		2015-01-16	Human	2015-01-16	Viet Nam	C4	C4-8
MH716256	C4-9		2017-01-15	Human	2017-01-15	Viet Nam	C4	C4-9
MH716278	B5-21		2014-11-17	Human	2014-11-17	Viet Nam	B5	B5-21
MH716280	B5-23		2014-11-27	Human	2014-11-27	Viet Nam	B5	B5-23
MH716288	B5-31		2014-09-11	Human	2014-09-11	Viet Nam	B5	B5-31
MH716290	B5-33		2014-08-08	Human	2014-08-08	Viet Nam	B5	B5-33
MH716297	B5-40		2013-10-28	Human	2013-10-28	Viet Nam	B5	B5-40
MH716302	B5-45		2013-11-06	Human	2013-11-06	Viet Nam	B5	B5-45
MH716305	B5-48		2014-07-28	Human	2014-07-28	Viet Nam	B5	B5-48
MH716319	B5-62		2014-12-03	Human	2014-12-03	Viet Nam	B5	B5-62
MH716325	B5-68		2014-12-19	Human	2014-12-19	Viet Nam	B5	B5-68
MH716329	B5-72		2014-06-11	Human	2014-06-11	Viet Nam	B5	B5-72
MH716333	B5-76		2013-11-21	Human	2013-11-21	Viet Nam	B5	B5-76
MH716337	B5-80		2014-10-24	Human	2014-10-24	Viet Nam	B5	B5-80
MH716350	B5-93		2014-12-12	Human	2014-12-12	Viet Nam	B5	B5-93
MH716356	B5-99		2014-10-25	Human	2014-10-25	Viet Nam	B5	B5-99
MH716359	B5-102		2015-03-27	Human	2015-03-27	Viet Nam	B5	B5-102
MH716364	B5-107		2013-11-25	Human	2013-11-25	Viet Nam	B5	B5-107
MH716366	B5-109		2014-10-15	Human	2014-10-15	Viet Nam	B5	B5-109
MH716382	B5-125		2014-01-06	Human	2014-01-06	Viet Nam	B5	B5-125
MH716386	B5-129		2013-09-16	Human	2013-09-16	Viet Nam	B5	B5-129
MK344771	J098-EV-A71-WS-YN-2014		2014-06-XX	Human	2014-06	China	A71	J098-EV-A71-WS-YN-2014
MN053432	SB6-760-3		2006-XX-XX	Human	2006	Malaysia	B5	SB6-760-3
MN053434	6-684-4		2006-XX-XX	Human	2006	Malaysia	B5	6-684-4
MN515037	16L		2016-XX-XX	Human	2016	Spain		16L
MN966516	R118/YN/CHN/2016		2016-03-30	Human	2016-03-30	China	A71	R118/YN/CHN/2016
MT081374	USA/2018-23297		2018-XX-XX	Human	2018	USA		USA/2018-23297
MT241238	TLLeC5		2013-XX-XX	Unknown	2013	Singapore		TLLeC5
MT360987	F9		2008-XX-XX	Unknown	2008	Taiwan	B5	F9
MT360992	No.2		2008-XX-XX	Unknown	2008	Taiwan	B5	No.2
MT360994	No.9		2008-XX-XX	Unknown	2008	Taiwan	B5	No.9
AB575915	9443		1974-XX-XX	Unknown	1974	Netherlands		9443
AB575936	9612		1991-XX-XX	Unknown	1991	Netherlands		9612
DQ341355	06-KOR-00		20XX-XX-XX	Unknown	N/a	South Korea		06-KOR-00
DQ341358	S40221-SAR-00		20XX-XX-XX	Unknown	N/a	Malaysia		S40221-SAR-00
DQ341364	5511-SIN-00		20XX-XX-XX	Unknown	N/a	Singapore		5511-SIN-00
JN864024	EV71/Ningbo.CHN/107/2009		2010-XX-XX	Human	2010	China	C4	EV71/Ningbo.CHN/107/2009
JQ086366	EV71/Ningbo.CHN/061/2011		2011-XX-XX	Human	2011	China	C4	EV71/Ningbo.CHN/061/2011
JX678882	SD07-1/SD/CHN/2007		2007-XX-XX	Human	2007	China	C4	SD07-1/SD/CHN/2007
KC296443	HCM82-VNM-2011		2011-05-03	Human	2011-05-03	Viet Nam		HCM82-VNM-2011
KC296444	HCM84-VNM-2011		2011-05-03	Human	2011-05-03	Viet Nam		HCM84-VNM-2011
KC296445	HCM120-VNM-2011		2011-05-20	Human	2011-05-20	Viet Nam		HCM120-VNM-2011
KF514878	BS		20XX-XX-XX	Unknown	N/a			BS
KF974797	M1089-TW12		2012-XX-XX	Human	2012	Taiwan		M1089-TW12
KJ686130	EV71/Homo sapiens/VNM/80/2012		2012-03-01	Human	2012-03-01	Viet Nam		EV71/Homosapiens/VNM/80/2012
KJ686132	EV71/Homo sapiens/VNM/122/2012		2012-04-17	Human	2012-04-17	Viet Nam		EV71/Homosapiens/VNM/122/2012
KJ686143	EV71/Homo sapiens/VNM/249/2011		2011-12-23	Human	2011-12-23	Viet Nam		EV71/Homosapiens/VNM/249/2011
KJ686146	EV71/Homo sapiens/VNM/132/2012		2012-04-25	Human	2012-04-25	Viet Nam		EV71/Homosapiens/VNM/132/2012
KJ686159	EV71/Homo sapiens/VNM/175/2012		2012-11-02	Human	2012-11-02	Viet Nam		EV71/Homosapiens/VNM/175/2012
KJ686162	EV71/Homo sapiens/VNM/105/2012		2012-03-29	Human	2012-03-29	Viet Nam		EV71/Homosapiens/VNM/105/2012
KJ686178	EV71/Homo sapiens/VNM/17/2011		2011-10-19	Human	2011-10-19	Viet Nam		EV71/Homosapiens/VNM/17/2011
